#,Timestamp,ID (hex),DLC,Data (hex),Type
365,16:25:22.313,0x08F,8,0D 00 03 01 00 00 00 00,STD
366,16:25:22.328,0x091,8,01 03 00 00 00 00 02 00,STD
367,16:25:22.359,0x092,8,00 01 01 01 03 02 02 03,STD
368,16:25:22.374,0x032,8,00 00 01 00 00 00 00 01,STD
369,16:25:22.405,0x093,8,01 01 39 0D 00 06 03 01,STD
370,16:25:22.484,0x036,8,00 00 00 00 00 00 00 00,STD
371,16:25:22.547,0x033,8,00 00 64 64 00 00 00 00,STD
372,16:25:22.578,0x027,8,F0 00 00 00 00 00 00 00,STD
373,16:25:22.624,0x009,8,00 84 85 2B 2B 2B 7F 38,STD
374,16:25:22.843,0x02B,8,F1 00 00 00 00 00 00 00,STD
375,16:25:22.922,0x032,8,00 00 01 00 00 00 00 01,STD
376,16:25:22.953,0x034,8,04 00 00 00 00 00 00 00,STD
377,16:25:22.969,0x035,8,01 00 38 00 00 00 1F 00,STD
378,16:25:23.000,0x05A,8,00 00 00 00 00 00 00 00,STD
379,16:25:23.015,0x05B,8,7F 00 00 00 04 00 00 00,STD
380,16:25:23.047,0x083,8,00 00 95 0B 93 0B 38 04,STD
381,16:25:23.063,0x084,8,84 85 01 01 00 06 2B 01,STD
382,16:25:23.094,0x033,8,00 00 64 64 00 00 00 00,STD
383,16:25:23.125,0x085,8,00 00 03 00 00 00 01 00,STD
384,16:25:23.141,0x086,8,02 5C 02 1E 00 01 01 01,STD
385,16:25:23.360,0x087,8,00 04 01 64 01 01 09 03,STD
386,16:25:23.391,0x088,8,03 1E 28 42 58 00 00 00,STD
387,16:25:23.407,0x089,8,03 04 04 04 04 00 00 00,STD
388,16:25:23.438,0x08A,8,03 00 00 00 00 00 00 00,STD
389,16:25:23.469,0x032,8,00 00 01 00 00 00 00 01,STD
390,16:25:23.485,0x08C,8,00 00 00 00 00 00 00 00,STD
391,16:25:23.516,0x08D,8,01 00 02 00 00 00 00 04,STD
392,16:25:23.532,0x08E,8,00 02 00 00 14 14 00 00,STD
393,16:25:23.564,0x08F,8,0D 00 03 01 00 00 00 00,STD
394,16:25:23.579,0x091,8,01 03 00 00 00 00 02 00,STD
395,16:25:23.611,0x092,8,00 01 01 01 03 02 02 03,STD
396,16:25:23.642,0x033,8,00 00 64 64 00 00 00 00,STD
397,16:25:23.657,0x093,8,01 01 39 0D 00 06 03 01,STD
398,16:25:23.736,0x036,8,00 00 00 00 00 00 00 00,STD
399,16:25:23.799,0x032,8,00 00 01 00 00 00 00 01,STD
400,16:25:23.830,0x027,8,F1 00 00 00 00 00 00 00,STD
401,16:25:23.909,0x02B,8,F2 00 00 00 00 00 00 00,STD
402,16:25:23.972,0x033,8,00 00 64 64 00 00 00 00,STD
403,16:25:24.003,0x034,8,04 00 00 00 00 00 00 00,STD
404,16:25:24.035,0x035,8,01 00 38 00 00 00 1F 00,STD
405,16:25:24.254,0x05A,8,00 00 00 00 00 00 00 00,STD
406,16:25:24.285,0x05B,8,7F 00 00 00 04 00 00 00,STD
