CanID,Description,Bit,Variable,Function,Options,History,,,,,,,,,,,,,,,,,,,
134,Current Options / Settings bank 1 from PSU,1,StepTime,Step run time (aprox 20th secs),"20 Min, 200 Max",20-120 (Default 60),,,,,,,,,,,,,,,,,,,
174,Change Options / Settings bank 1,1,StepTime,Step run time (approx. 20th secs),"20 Min, 200 Max",0-200 (Default 60),,,,,,,,,,,,,,,,,,,
134,Current Options / Settings bank 1 from PSU,2,AwnLight,Select awning light automation,"0=none,1=lock,2=unlock,3=both",,,,,,,,,,,,,,,,,,,,
174,Change Options / Settings bank 1,2,AwnLight,Select awning light automation,"0=none,1=lock,2=unlock,3=both",,,,,,,,,,,,,,,,,,,,
134,Current Options / Settings bank 1 from PSU,3,AwnTime,Awning light time 0 to 60 secs,"30 Min, 240 Max",0-150s,,,,,,,,,,,,,,,,,,,
174,Change Options / Settings bank 1,3,Awn Time,Awning light time 0 to 60 secs,"30 Min, 240 Max",30-240,,,,,,,,,,,,,,,,,,,
135,Current Options / Settings bank 2 from PSU,0,KeyBeep,Key beep on / off,"0=off, 1=on",,,,,,,,,,,,,,,,,,,,
135,Current Options / Settings bank 2 from PSU,1,BacklightTime,Backlight on time,"0=permanent, 1=30 seconds, 2=1 minute, 3=5 minutes, 4=15 minutes, 5= 30 minutes, 6= 60 minutes, (0-200 sec for older systems) ",,,,,,,,,,,,,,,,,,,,
135,Current Options / Settings bank 2 from PSU,2,WAlarm,Water level alarms on / off,"0=off, 1=on",,,,,,,,,,,,,,,,,,,,
135,Current Options / Settings bank 2 from PSU,3,LEDDim,CP LED dim out time,"0=permanent, 0-200 sec",,,,,,,,,,,,,,,,,,,,
135,Current Options / Settings bank 2 from PSU,4,THeaters,Are Tank Heaters fitted,"0=None, 1=Fitted",,,,,,,,,,,,,,,,,,,,
135,Current Options / Settings bank 2 from PSU,5,TrigMode,Tracker trigger mode,"0=alarm, 1=engine",,,,,,,,,,,,,,,,,,,,
135,Current Options / Settings bank 2 from PSU,6,HeatingMode,Heating control mode,"0=Manual, 1=Timer, 2=Remote, 9=OFF",,,,,,,,,,,,,,,,,,,,
135,Current Options / Settings bank 2 from PSU,7,Tanks,Water Tanks fitted,"0=none, 1=fresh, 2=waste, 3=both",,,,,,,,,,,,,,,,,,,,
136,Current Heating system on times from PSU,0,Day,Day setting,"0=all week, 1= Monday",,,,,,,,,,,,,,,,,,,,
136,Current Heating system on times from PSU,1,Time1,0-95,"(15 min steps, 95 = 11:45)",,,,,,,,,,,,,,,,,,,,
136,Current Heating system on times from PSU,2,Time2,0-95,"(15 min steps, 95 = 11:45)",,,,,,,,,,,,,,,,,,,,
136,Current Heating system on times from PSU,3,Time3,0-95,"(15 min steps, 95 = 11:45)",,,,,,,,,,,,,,,,,,,,
136,Current Heating system on times from PSU,4,Time4,0-95,"(15 min steps, 95 = 11:45)",,,,,,,,,,,,,,,,,,,,
136,Current Heating system on times from PSU,5,Time5,0-95 (only 1-4 used now),"(15 min steps, 95 = 11:45)",,,,,,,,,,,,,,,,,,,,
136,Current Heating system on times from PSU,6,Time6,0-95,"(15 min steps, 95 = 11:45)",,,,,,,,,,,,,,,,,,,,
136,Current Heating system on times from PSU,7,Time7,0-95,"(15 min steps, 95 = 11:45)",,,,,,,,,,,,,,,,,,,,
137,Current Heating system target room temperature from PSU,0,Day,Day setting,"0=all week, 1=Monday",,,,,,,,,,,,,,,,,,,,
137,Current Heating system target room temperature from PSU,1,Heat1,4-30,"4=off, 5-30 deg C",,,,,,,,,,,,,,,,,,,,
137,Current Heating system target room temperature from PSU,2,Heat2,4-30,"4=off, 5-30 deg C",,,,,,,,,,,,,,,,,,,,
137,Current Heating system target room temperature from PSU,3,Heat3,4-30,"4=off, 5-30 deg C",,,,,,,,,,,,,,,,,,,,
137,Current Heating system target room temperature from PSU,4,Heat4,4-30,"4=off, 5-30 deg C",,,,,,,,,,,,,,,,,,,,
137,Current Heating system target room temperature from PSU,5,Heat5,4-30,"4=off, 5-30 deg C",,,,,,,,,,,,,,,,,,,,
137,Current Heating system target room temperature from PSU,6,Heat6,4-30,"4=off, 5-30 deg C",,,,,,,,,,,,,,,,,,,,
137,Current Heating system target room temperature from PSU,7,Heat7,4-30,"4=off, 5-30 deg C",,,,,,,,,,,,,,,,,,,,
138,Current Heating system target water temperature from PSU,0,Day,Day setting,"0=all week, 1=Monday",,,,,,,,,,,,,,,,,,,,
138,Current Heating system target water temperature from PSU,1,Water1,0-2,"(Alde: 0 = off, 1=Normal, 2=Boost) (Truma: 0 off, 1=Eco, 2=Hot), (Whale 0 off, 1=On)",,,,,,,,,,,,,,,,,,,,
138,Current Heating system target water temperature from PSU,2,Water2,0-2,"Alde 0 off, 1=Normal, 2=Boost (Truma 0 off, 1=Eco, 2=Hot), (Whale 0 off, 1=On)",,,,,,,,,,,,,,,,,,,,
138,Current Heating system target water temperature from PSU,3,Water3,0-2,"Alde 0 off, 1=Normal, 2=Boost (Truma 0 off, 1=Eco, 2=Hot), (Whale 0 off, 1=On)",,,,,,,,,,,,,,,,,,,,
138,Current Heating system target water temperature from PSU,4,Water4,0-2,"Alde 0 off, 1=Normal, 2=Boost (Truma 0 off, 1=Eco, 2=Hot), (Whale 0 off, 1=On)",,,,,,,,,,,,,,,,,,,,
138,Current Heating system target water temperature from PSU,5,Water5,0-3,"0=off, 1=40, 2=60, 3=Boost",,,,,,,,,,,,,,,,,,,,
138,Current Heating system target water temperature from PSU,6,Water6,0-3,"0=off, 1=40, 2=60, 3=Boost",,,,,,,,,,,,,,,,,,,,
